q;a/0/option;a/0/correct;a/1/option;a/1/correct;a/2/option;a/2/correct;a/3/option;a/3/correct;correct;incorrect;select_any
Which of the following is NOT one of FBLA's regions?;Midwest;TRUE;Mountain Plains;FALSE;Eastern;FALSE;North Central;FALSE;<p><span>Good call.</span></p>;<p><span>Well, no.</span> Hamden L. Forkner</p>;
How many articles are there in the FBLA Bylaws?;13;TRUE;15;FALSE;10;FALSE;9;FALSE;<p><span>Good job.</span></p>;<p><span>Not quite.</span> 1940</p>;
Who is the founder of FLBA?;Hamden L. Forkner;TRUE;Robert Baden-Powell;FALSE;Theodore Roosevelt;FALSE;Juliette Low;FALSE;<p><span>Good call.</span></p>;<p><span>Well, no.</span> Hamden L. Forkner</p>;
FBLA was established in ____.;1940;TRUE;1878;FALSE;1972;FALSE;1969;FALSE;<p><span>Good job.</span></p>;<p><span>Not quite.</span> 1940</p>;
The first National Leadership Conference was held in  _____.;Chicago, Illinois in 1952;TRUE;Des Moines, Iowa in 1949;FALSE;New York, New York in 1967;FALSE;Nashville, Tennesee in 1971;FALSE;<p><span>Excellent.</span></p>;<p><span>No.</span> Chicago, Illinois in 1952</p>;
What foundation purchased 1.6 acres of land in the Center for Educational Associations, Reston, Virginia, as the site for a future FBLA-PBL National Center in 1981?;The Conrad N. Hilton Foundation;TRUE;The Carnegie Mellon Foundation;FALSE;The Ford Foundation;FALSE;The Rockefeller Foundation;FALSE;<p><span>Correct.</span></p>;<p><span>Incorrect.  </span> The Conrad N. Hilton Foundation</p>;
When was the last National Leadership Conference held in Washington, D.C.?;1996;TRUE;1972;FALSE;1985;FALSE;2002;FALSE;<p><span>Good call.</span></p>;<p><span>No.  </span> 1996</p>;
The first collegiate FBLA was chartered in _____.;Iowa;TRUE;Tennesee;FALSE;Ohio;FALSE;New York;FALSE;<p><span>Good job.</span></p>;<p><span>Well, no.</span> Iowa</p>;
Which state becomes the first FBLA state chapter? What year?;Iowa, 1947;TRUE;New York, 1948;FALSE;California, 1969;FALSE;Virginia, 1957;FALSE;<p><span>Excellent.</span></p>;<p><span>Not quite.</span> Iowa, 1947</p>;
When did FBLA-PBL is granted independent status as a nonprofit educational student association under Internal Revenue Code 501(c)(3)?;1969;TRUE;1971;FALSE;1942;FALSE;1959;FALSE;<p><span>Correct.</span></p>;<p><span>No.</span> 1969</p>;
The PBL in FBLA-PBL stands for _____ .;Phi Beta Lambda;TRUE;Pre-eminent Business Leaders;FALSE;Problem- Based Learning;FALSE;Power Business Logic;FALSE;<p><span>Good call.</span></p>;<p><span>Incorrect.  </span> Phi Beta Lambda</p>;
The FBLA-Middle Level division was started in ____ for students in grades 5-9.;1974;TRUE;1979;FALSE;1970;FALSE;1967;FALSE;<p><span>Good job.</span></p>;<p><span>No.  </span> 1974</p>;
Who spoke at the 2018 National Leadership Conference?;Shane Feldman;TRUE;Maria Santiago;FALSE;Paula Robinson;FALSE;Gary Howard;FALSE;<p><span>Good call.</span></p>;<p><span>Well, no.</span> Shane Feldman</p>;
Where was the 2018 National Leadership Conference held?;Baltimore;TRUE;Washington D.C.;FALSE;Salt Lake City;FALSE;Houston;FALSE;<p><span>Good job.</span></p>;<p><span>Not quite.</span> Baltimore</p>;
Where will the 2019 National Leadership Conference be held?;San Antonio;TRUE;Dallas;FALSE;Santa Fe;FALSE;Dover;FALSE;<p><span>Excellent.</span></p>;<p><span>No.</span> San Antonio</p>;
When will the 2019 National Leadership Conference occur?;June 29-July 2;TRUE;June 30-July 3;FALSE;July 3-6;FALSE;August 3-6;FALSE;<p><span>Correct.</span></p>;<p><span>Incorrect.  </span> June 29-July 2</p>;
Which of the following is not included in the motto of the National Leadership Conference?;Innovate;TRUE;Create;FALSE;Lead;FALSE;Inspire;FALSE;<p><span>Good call.</span></p>;<p><span>No.  </span> Innovate</p>;
Where was the first NLC held?;Chicago;TRUE;New York;FALSE;San Francisco;FALSE;Dallas;FALSE;<p><span>Good job.</span></p>;<p><span>Well, no.</span> Chicago</p>;
Where will the 2020 National Leadership Conference be held?;Anaheim, CA;TRUE;San Antonio, CA;FALSE;Houston, TX;FALSE;Dover, CO;FALSE;<p><span>Excellent.</span></p>;<p><span>Not quite.</span> Anaheim, CA</p>;
Which of the following conferences is an intensive, two-day seminar held in conjunction with the NLC?;IFL;TRUE;PBLCCC;FALSE;SLC;FALSE;RLC;FALSE;<p><span>Correct.</span></p>;<p><span>No.</span> IFL</p>;
In what year was the first NLC held?;1952;TRUE;1960;FALSE;1958;FALSE;1955;FALSE;<p><span>Good call.</span></p>;<p><span>Incorrect.  </span> 1952</p>;
What was the slogan of the 2018 NLC?;Elevate Your Future;TRUE;Create-Lead-Inspire;FALSE;No Less Than Success;FALSE;MOTIV8;FALSE;<p><span>Good job.</span></p>;<p><span>No.  </span> Elevate Your Future</p>;
Who is the current FBLA national president?;Eu Wang;TRUE;Gail Hopkins;FALSE;Obi Tan;FALSE;Fiona Aster;FALSE;<p><span>Good call.</span></p>;<p><span>Well, no.</span> Eu Wang</p>;
Which of the following roles is in charge of ensuring meetings are conduted in accordance to proper procedure?;Parliamentarian;TRUE;Timekeeper;FALSE;Historian;FALSE;Proceduralist;FALSE;<p><span>Good job.</span></p>;<p><span>Not quite.</span> Parliamentarian</p>;
Which role is responsible for preparing the Local Chapter Annual Business Report?;Vice President;TRUE;President;FALSE;Head of Chapter;FALSE;Chapter Committee;FALSE;<p><span>Excellent.</span></p>;<p><span>No.</span> Vice President</p>;
Which of the following jobs does the FBLA National Secretary do?;Create a meeting agenda;TRUE;Keep track of the budget;FALSE;Maintain a history of the chapter;FALSE;Prepare a news article/release within one week of an activity;FALSE;<p><span>Correct.</span></p>;<p><span>Incorrect.  </span> Create a meeting agenda</p>;
Whose job is it to call special meetings as deemed necessary?;President;TRUE;Secretary;FALSE;Vice President;FALSE;Caller;FALSE;<p><span>Good call.</span></p>;<p><span>No.  </span> President</p>;
Who is in charge of handling the chapter's general correspondence?;Secretary;TRUE;Reporter;FALSE;Vice President;FALSE;President;FALSE;<p><span>Good job.</span></p>;<p><span>Well, no.</span> Secretary</p>;
Which current officer is in charge of keeping attendance and taking roll as National Secretary?;Keerti Soundappan;TRUE;Michael Zhao;FALSE;Madelyn Remington;FALSE;Ty Rickard;FALSE;<p><span>Excellent.</span></p>;<p><span>Not quite.</span> Keerti Soundappan</p>;
Which officer serves as an ex-officio non-voting member of every committee?;President;TRUE;Vice President;FALSE;Committee Chair;FALSE;Speaker;FALSE;<p><span>Correct.</span></p>;<p><span>No.</span> President</p>;
Which officer's role is to preside over regional meetings at the National Leadership Conference?;Vice President;TRUE;President;FALSE;Regional Manager;FALSE;Treasurer;FALSE;<p><span>Good call.</span></p>;<p><span>Incorrect.  </span> Vice President</p>;
Who does the secretary NOT need to send a copy of the meeting minutes and substantiating reports to?;Reporter;TRUE;President;FALSE;Chief Executive Officer;FALSE;Association President;FALSE;<p><span>Good job.</span></p>;<p><span>No.  </span> Reporter</p>;
What is the name of the book FBLA follows concerning Parliamentary Procedure?;Robert's Rules of Order;TRUE;FBLA Official Handbook;FALSE;Parlimentary Procedure and How to Do It;FALSE;Maintaining Order: Parliamentary Procedure;FALSE;<p><span>Good call.</span></p>;<p><span>Well, no.</span> Robert's Rules of Order</p>;
A(n) ____ is a formal proposal by a member of a deliberative assembly that the assembly take certain action;Motion;TRUE;Action Point;FALSE;Point;FALSE;Call;FALSE;<p><span>Good job.</span></p>;<p><span>Not quite.</span> Motion</p>;
What is the most common type of motion?;Main;TRUE;Subsidiary;FALSE;Budgetary;FALSE;Daily;FALSE;<p><span>Excellent.</span></p>;<p><span>No.</span> Main</p>;
Which of the following is NOT one of the classifications of motions?;Additional;TRUE;Subsidiary;FALSE;Privileged;FALSE;Incidental;FALSE;<p><span>Correct.</span></p>;<p><span>Incorrect.  </span> Additional</p>;
What is the formal name of a motion made in writing?;Resolution;TRUE;Written Proposal;FALSE;Codified Proposal;FALSE;Codified Motion;FALSE;<p><span>Good call.</span></p>;<p><span>No.  </span> Resolution</p>;
The chairman indicates that the mover has the right to speak. This is known as…;Obtaining the floor;TRUE;The First Amendment;FALSE;Speaker Law;FALSE;Permission to Proceed;FALSE;<p><span>Good job.</span></p>;<p><span>Well, no.</span> Obtaining the floor</p>;
What is the rank of privileged motions from most to least urgent? 1) Raise a question of privilege 2) Adjourn, but not if qualified or if adjournment will end the assembly 3) Fix the time to adjourn if another question is pending 4) Call for orders of the day 5) Take a recess if another question is pending;3, 2, 5, 1, 4;TRUE;4, 1, 5, 3, 2;FALSE;3, 5, 2, 1, 4;FALSE;1, 4, 5, 3, 2;FALSE;<p><span>Excellent.</span></p>;<p><span>Not quite.</span> 3, 2, 5, 1, 4</p>;
Which of the following is NOT a type of incidental motion?;Limit or extend limits of a debate;TRUE;Motions relating to nominations;FALSE;Objection to the consideration of a question;FALSE;Request to be excused from duty;FALSE;<p><span>Correct.</span></p>;<p><span>No.</span> Limit or extend limits of a debate</p>;
True or False: Using dilatory tactics and motions is allowed.;TRUE;TRUE;FALSE;FALSE;;FALSE;;FALSE;<p><span>Good call.</span></p>;<p><span>Incorrect.  </span> TRUE</p>;
Which of the following motions does NOT provide an exception to the non-renewal of motions?;Compromise;TRUE;Reconsider;FALSE;Rescind;FALSE;Amend something previously adopted;FALSE;<p><span>Good job.</span></p>;<p><span>No.  </span> Compromise</p>;
